"state","pop_2018"
"United States","330362587"
"Florida","21299325"
"Hawaii","1420491"
"Kentucky","4468402"
"Maine","1338404"
"New York","19542209"
"Puerto Rico","3195153"
"Illinois","12741080"
"Kansas","2911505"
"New Jersey","8908520"
"North Dakota","760077"
"Oregon","4190713"
"Texas","28701845"
"Washington","7535591"
"Wisconsin","5813568"
"Alaska","737438"
"Indiana","6691878"
"Michigan","9995915"
"Nevada","3034392"
"New Hampshire","1356458"
"California","39557045"
"Idaho","1754208"
"Louisiana","4659978"
"Maryland","6042718"
"Montana","1062305"
"South Dakota","882235"
"Virginia","8517685"
"Arkansas","3013825"
"Delaware","967171"
"District of Columbia","702455"
"Missouri","6126452"
"Nebraska","1929268"
"New Mexico","2095428"
"Oklahoma","3943079"
"Alabama","4887871"
"Arizona","7171646"
"Massachusetts","6902149"
"Minnesota","5611179"
"Ohio","11689442"
"Tennessee","6770010"
"Colorado","5695564"
"Connecticut","3572665"
"Utah","3161105"
"West Virginia","1805832"
"Wyoming","577737"
"Georgia","10519475"
"Iowa","3156145"
"Mississippi","2986530"
"North Carolina","10383620"
"Pennsylvania","12807060"
"Rhode Island","1057315"
"South Carolina","5084127"
"Vermont","626299"
